fight_id,event_id,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time
7218,664,2976,2884,2884.0,5,F,Lightweight,M,KO/TKO,"to    
      Leg Injury",2,2:03
7217,664,1662,2464,1662.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00
7216,664,981,179,981.0,3,F,Women's Strawweight,F,KO/TKO,Punches to Head From Mount,2,2:42
7215,664,3831,2974,3831.0,3,F,Welterweight,M,Submission,Rear Naked Choke,2,4:32
7214,664,1108,2320,2320.0,3,F,Featherweight,M,Submission,Guillotine Choke From Bottom Guard,1,3:12
7213,664,3945,2373,2373.0,3,F,Bantamweight,M,Decision,Unanimous,3,5:00
7212,664,1752,3002,1752.0,3,F,Welterweight,M,KO/TKO,Punches to Head At Distance,3,1:15
7211,664,1885,3646,3646.0,3,F,Middleweight,M,DQ,Strike to back of head,1,4:15
7210,664,309,3421,309.0,3,F,Heavyweight,M,Decision,Unanimous,3,5:00
7208,664,249,1071,1071.0,3,F,Women's Bantamweight,F,Decision,Split,3,5:00
7207,663,2534,3250,3250.0,3,F,Welterweight,M,Decision,Split,3,5:00
7206,663,946,1660,946.0,3,F,Bantamweight,M,KO/TKO,Punches to Head From Back Control,1,0:54
7205,663,23,2846,23.0,3,F,Lightweight,M,Submission,Anaconda Choke On Ground,2,3:26
7204,663,1348,1495,1495.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00
7203,663,2814,1085,2814.0,3,F,Women's Strawweight,F,Submission,Rear Naked Choke,2,3:38
7202,663,2181,2929,2181.0,3,F,Middleweight,M,KO/TKO,Punch to Body At Distance,2,4:44
7201,663,3389,2400,3389.0,3,F,Women's Flyweight,F,Decision,Unanimous,3,5:00
7200,663,1064,3574,3574.0,3,F,Lightweight,M,KO/TKO,Punches to Head At Distance,1,3:38
7199,663,2196,1874,2196.0,3,F,Women's Strawweight,F,Decision,Unanimous,3,5:00
7198,662,4089,512,512.0,5,T,Middleweight,M,Decision,Unanimous,5,5:00
7197,662,342,225,225.0,3,F,Heavyweight,M,Submission,Ezekiel Choke From Mount,2,4:37
7196,662,2285,3179,2285.0,3,F,Flyweight,M,Decision,Unanimous,3,5:00
7195,662,471,2120,471.0,3,F,Heavyweight,M,KO/TKO,Punch to Head At Distance,1,1:22
7194,662,1280,335,1280.0,3,F,Light Heavyweight,M,KO/TKO,Punch to Head At Distance,1,2:12
7193,662,323,2307,323.0,3,F,Light Heavyweight,M,Submission,Rear Naked Choke,3,4:49
7192,662,2390,1865,1865.0,3,F,Featherweight,M,KO/TKO,"to    
      Arm Injury",2,3:19
7191,662,1573,1896,1573.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00
7190,662,2650,1132,2650.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00
7189,662,3227,1127,1127.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00
7188,662,42,1672,1672.0,3,F,Featherweight,M,Submission,Rear Naked Choke,1,0:59
7187,662,2319,3353,2319.0,3,F,Welterweight,M,Submission,Rear Naked Choke,1,4:49
7186,661,2881,567,2881.0,5,F,Heavyweight,M,KO/TKO,Punches to Head At Distance,2,3:44
7185,661,2983,1523,2983.0,3,F,Women's Flyweight,F,Decision,Unanimous,3,5:00
7184,661,899,1643,899.0,3,F,Lightweight,M,KO/TKO,Punches to Head On Ground,2,4:44
7183,661,1417,2691,1417.0,3,F,Light Heavyweight,M,Submission,Rear Naked Choke,1,3:46
7182,661,2794,2849,2794.0,3,F,Featherweight,M,KO/TKO,Kick to Body At Distance,3,2:20
7181,661,3488,25,3488.0,3,F,Featherweight,M,KO/TKO,Kicks to Body At Distance,1,3:51
7180,661,2115,1971,2115.0,3,F,Bantamweight,M,Decision,Unanimous,3,5:00
7179,661,1986,1764,1986.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00
7178,661,3395,3114,3395.0,3,F,Women's Bantamweight,F,Decision,Unanimous,3,5:00
7177,661,3837,987,3837.0,3,F,Bantamweight,M,Submission,Arm Triangle From Side Control,1,4:15
7176,661,3035,3505,3505.0,3,F,Catch Weight,M,Decision,Unanimous,3,5:00
7175,660,2532,2309,2532.0,5,F,Featherweight,M,KO/TKO,Punch to Head At Distance,3,0:23
7174,660,632,579,632.0,3,F,Light Heavyweight,M,Decision,Split,3,5:00
7173,660,3477,3591,3477.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00
7172,660,1528,2868,1528.0,3,F,Bantamweight,M,Decision,Unanimous,3,5:00
7171,660,3755,827,3755.0,3,F,Women's Flyweight,F,Decision,Unanimous,3,5:00
7170,660,470,1179,470.0,3,F,Heavyweight,M,KO/TKO,Punch to Head At Distance,1,1:24
7169,660,3390,3639,3390.0,3,F,Heavyweight,M,KO/TKO,Punches to Head At Distance,1,3:01
7168,660,2265,3941,3941.0,3,F,Bantamweight,M,KO/TKO,Punches to Head At Distance,1,4:16
7167,660,1463,1403,1403.0,3,F,Middleweight,M,KO/TKO,Punches to Head On Ground,1,4:16
7166,660,607,3820,607.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00
7165,660,2811,2212,2811.0,3,F,Welterweight,M,KO/TKO,Punch to Body At Distance,1,3:49
7164,660,2028,4049,4049.0,3,F,Women's Flyweight,F,KO/TKO,Elbows to Head From Back Control,2,4:49
7163,660,3471,3072,3471.0,3,F,Featherweight,M,Decision,Unanimous,3,5:00
