fight_stat_id,fight_id,fighter_id,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att,sig_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time,fight_url
14436,7218,2976.0,0,34,19,32,18,0.0,0.0,0,0,,http://ufcstats.com/fight-details/23a604f460289271
14435,7218,2884.0,0,42,17,40,16,6.0,1.0,0,0,,http://ufcstats.com/fight-details/23a604f460289271
14434,7217,1662.0,0,59,37,40,23,15.0,5.0,1,0,,http://ufcstats.com/fight-details/da1b37edb8ccd3e6
14433,7217,2464.0,0,72,32,55,18,0.0,0.0,0,1,,http://ufcstats.com/fight-details/da1b37edb8ccd3e6
14432,7216,981.0,0,130,90,102,70,1.0,1.0,0,0,,http://ufcstats.com/fight-details/d8335b728604b222
14431,7216,179.0,0,37,16,32,13,6.0,1.0,0,0,,http://ufcstats.com/fight-details/d8335b728604b222
14430,7215,3831.0,0,105,63,80,45,2.0,1.0,1,0,,http://ufcstats.com/fight-details/bf647be41de365e4
14429,7215,2974.0,0,57,29,51,25,2.0,0.0,0,0,,http://ufcstats.com/fight-details/bf647be41de365e4
14428,7214,1108.0,0,10,0,9,0,3.0,2.0,1,0,,http://ufcstats.com/fight-details/6e1bf1b163b3aeab
14427,7214,2320.0,0,10,8,9,8,0.0,0.0,1,0,,http://ufcstats.com/fight-details/6e1bf1b163b3aeab
14426,7213,3945.0,0,95,38,85,33,6.0,2.0,2,0,,http://ufcstats.com/fight-details/b78545b32a97ac44
14425,7213,2373.0,0,104,52,92,43,6.0,2.0,0,0,,http://ufcstats.com/fight-details/b78545b32a97ac44
14424,7212,1752.0,2,178,134,143,104,2.0,0.0,0,1,,http://ufcstats.com/fight-details/b3c7a5a97978d156
14423,7212,3002.0,0,110,56,103,51,1.0,1.0,0,0,,http://ufcstats.com/fight-details/b3c7a5a97978d156
14422,7211,1885.0,0,60,44,39,28,3.0,1.0,0,0,,http://ufcstats.com/fight-details/1496969c1497dc85
14421,7211,3646.0,0,5,3,4,2,1.0,1.0,0,0,,http://ufcstats.com/fight-details/1496969c1497dc85
14420,7210,309.0,0,234,118,191,85,3.0,1.0,0,0,,http://ufcstats.com/fight-details/49ede01b061cfae3
14419,7210,3421.0,0,198,100,183,87,0.0,0.0,2,0,,http://ufcstats.com/fight-details/49ede01b061cfae3
14416,7208,249.0,0,131,78,109,60,3.0,0.0,1,0,,http://ufcstats.com/fight-details/0732e6b6eb0a607d
14415,7208,1071.0,0,240,112,182,69,5.0,3.0,0,0,,http://ufcstats.com/fight-details/0732e6b6eb0a607d
14414,7207,2534.0,0,356,127,356,127,2.0,0.0,0,0,,http://ufcstats.com/fight-details/697efaf0d162e877
14413,7207,3250.0,0,190,105,190,105,0.0,0.0,0,0,,http://ufcstats.com/fight-details/697efaf0d162e877
14412,7206,946.0,1,31,19,30,18,0.0,0.0,0,0,,http://ufcstats.com/fight-details/c0ca4c201d086ea8
14411,7206,1660.0,0,19,6,19,6,0.0,0.0,0,0,,http://ufcstats.com/fight-details/c0ca4c201d086ea8
14410,7205,23.0,0,101,36,101,36,0.0,0.0,1,0,,http://ufcstats.com/fight-details/2e1435c160bfe8b2
14409,7205,2846.0,0,82,38,82,38,6.0,0.0,0,0,,http://ufcstats.com/fight-details/2e1435c160bfe8b2
14408,7204,1348.0,0,209,73,208,72,1.0,0.0,0,0,,http://ufcstats.com/fight-details/a5d76e93a5052e3f
14407,7204,1495.0,0,185,83,184,82,3.0,0.0,0,0,,http://ufcstats.com/fight-details/a5d76e93a5052e3f
14406,7203,2814.0,1,51,37,31,21,5.0,5.0,6,0,,http://ufcstats.com/fight-details/79f03eca3fe5cdb3
14405,7203,1085.0,0,48,34,13,3,1.0,0.0,0,0,,http://ufcstats.com/fight-details/79f03eca3fe5cdb3
14404,7202,2181.0,1,90,54,84,49,0.0,0.0,0,0,,http://ufcstats.com/fight-details/7a0813ec0fadc84e
14403,7202,2929.0,0,116,38,116,38,5.0,0.0,0,0,,http://ufcstats.com/fight-details/7a0813ec0fadc84e
14402,7201,3389.0,0,225,116,212,103,1.0,0.0,0,0,,http://ufcstats.com/fight-details/bcec26b425194e40
14401,7201,2400.0,0,225,95,206,77,10.0,2.0,0,0,,http://ufcstats.com/fight-details/bcec26b425194e40
14400,7200,1064.0,0,39,15,38,14,2.0,0.0,0,0,,http://ufcstats.com/fight-details/58b2fdad7af9be02
14399,7200,3574.0,1,72,43,72,43,0.0,0.0,0,0,,http://ufcstats.com/fight-details/58b2fdad7af9be02
14398,7199,2196.0,0,206,147,128,81,4.0,3.0,0,0,,http://ufcstats.com/fight-details/11318a7807cee8ca
14397,7199,1874.0,0,64,39,29,8,2.0,0.0,0,0,,http://ufcstats.com/fight-details/11318a7807cee8ca
14396,7198,4089.0,0,271,94,271,94,0.0,0.0,0,0,,http://ufcstats.com/fight-details/7f16e7725245bb2d
14395,7198,512.0,1,259,137,259,137,0.0,0.0,0,0,,http://ufcstats.com/fight-details/7f16e7725245bb2d
14394,7197,342.0,0,69,30,67,28,0.0,0.0,0,0,,http://ufcstats.com/fight-details/e4ed294e16e16d81
14393,7197,225.0,1,164,107,143,93,1.0,0.0,1,0,,http://ufcstats.com/fight-details/e4ed294e16e16d81
14392,7196,2285.0,1,186,116,182,112,1.0,1.0,0,0,,http://ufcstats.com/fight-details/222bb2c67a87d312
14391,7196,3179.0,0,310,101,304,99,5.0,0.0,0,0,,http://ufcstats.com/fight-details/222bb2c67a87d312
14390,7195,471.0,1,14,11,14,11,0.0,0.0,0,0,,http://ufcstats.com/fight-details/f9d2137f380e66bf
14389,7195,2120.0,0,15,7,14,7,0.0,0.0,0,0,,http://ufcstats.com/fight-details/f9d2137f380e66bf
14388,7194,1280.0,1,29,16,29,16,0.0,0.0,0,0,,http://ufcstats.com/fight-details/3e1c27f17433f9e4
14387,7194,335.0,0,25,9,24,8,0.0,0.0,0,0,,http://ufcstats.com/fight-details/3e1c27f17433f9e4
14386,7193,323.0,1,165,91,154,81,2.0,1.0,1,0,,http://ufcstats.com/fight-details/a3d75cc363a6544b
14385,7193,2307.0,0,123,60,120,58,2.0,1.0,0,0,,http://ufcstats.com/fight-details/a3d75cc363a6544b
14384,7192,2390.0,0,70,43,68,41,1.0,0.0,0,0,,http://ufcstats.com/fight-details/09a7f0979a58e6ea
14383,7192,1865.0,0,143,87,87,38,1.0,1.0,0,0,,http://ufcstats.com/fight-details/09a7f0979a58e6ea
14382,7191,1573.0,0,179,88,179,88,2.0,0.0,0,0,,http://ufcstats.com/fight-details/0aae15358d8606b9
14381,7191,1896.0,0,190,85,188,83,1.0,0.0,0,0,,http://ufcstats.com/fight-details/0aae15358d8606b9
14380,7190,2650.0,0,378,172,377,171,5.0,0.0,0,0,,http://ufcstats.com/fight-details/bfff5a3777841344
14379,7190,1132.0,0,359,152,354,148,0.0,0.0,0,0,,http://ufcstats.com/fight-details/bfff5a3777841344
14378,7189,3227.0,0,136,75,94,44,3.0,0.0,0,0,,http://ufcstats.com/fight-details/56809feb4fe7ea61
14377,7189,1127.0,0,112,63,76,35,6.0,1.0,0,0,,http://ufcstats.com/fight-details/56809feb4fe7ea61
14376,7188,42.0,0,4,1,4,1,0.0,0.0,0,0,,http://ufcstats.com/fight-details/5d481ff494bf40da
14375,7188,1672.0,0,6,2,6,2,2.0,1.0,1,0,,http://ufcstats.com/fight-details/5d481ff494bf40da
14374,7187,2319.0,0,69,39,58,29,1.0,1.0,1,0,,http://ufcstats.com/fight-details/65c89e0c92e51bb8
14373,7187,3353.0,0,66,45,59,39,0.0,0.0,0,0,,http://ufcstats.com/fight-details/65c89e0c92e51bb8
14372,7186,2881.0,0,157,110,156,109,0.0,0.0,0,0,,http://ufcstats.com/fight-details/ea006bae605e2a6b
14371,7186,567.0,0,44,11,44,11,1.0,0.0,0,0,,http://ufcstats.com/fight-details/ea006bae605e2a6b
14370,7185,2983.0,0,232,62,225,58,1.0,0.0,0,0,,http://ufcstats.com/fight-details/4eaf54ad3c82b6fa
14369,7185,1523.0,0,152,60,150,60,6.0,0.0,0,0,,http://ufcstats.com/fight-details/4eaf54ad3c82b6fa
14368,7184,899.0,0,210,123,182,101,9.0,5.0,0,0,,http://ufcstats.com/fight-details/dfa8fd0b82b37fa1
14367,7184,1643.0,0,67,27,62,24,3.0,1.0,1,0,,http://ufcstats.com/fight-details/dfa8fd0b82b37fa1
14366,7183,1417.0,1,64,36,46,26,1.0,1.0,1,0,,http://ufcstats.com/fight-details/5098d052525da54f
14365,7183,2691.0,0,27,10,25,8,0.0,0.0,0,0,,http://ufcstats.com/fight-details/5098d052525da54f
14364,7182,2794.0,0,99,61,88,52,0.0,0.0,2,0,,http://ufcstats.com/fight-details/1c29c53ff032c5c1
14363,7182,2849.0,0,88,40,73,28,4.0,0.0,0,0,,http://ufcstats.com/fight-details/1c29c53ff032c5c1
14362,7181,3488.0,1,49,26,49,26,0.0,0.0,0,0,,http://ufcstats.com/fight-details/0d41a3fa5efef91b
14361,7181,25.0,0,41,9,41,9,0.0,0.0,0,0,,http://ufcstats.com/fight-details/0d41a3fa5efef91b
14360,7180,2115.0,0,166,87,163,84,0.0,0.0,0,0,,http://ufcstats.com/fight-details/1b9a127f9dadaad9
14359,7180,1971.0,0,166,70,132,48,11.0,2.0,0,0,,http://ufcstats.com/fight-details/1b9a127f9dadaad9
14358,7179,1986.0,0,220,124,182,98,10.0,6.0,0,0,,http://ufcstats.com/fight-details/1be27d95bba03f17
14357,7179,1764.0,0,198,90,183,77,0.0,0.0,0,0,,http://ufcstats.com/fight-details/1be27d95bba03f17
14356,7178,3395.0,0,134,85,77,40,0.0,0.0,0,3,,http://ufcstats.com/fight-details/e3a5a7ede88a2555
14355,7178,3114.0,0,120,75,42,18,8.0,5.0,1,0,,http://ufcstats.com/fight-details/e3a5a7ede88a2555
14354,7177,3837.0,0,36,25,6,4,5.0,2.0,1,0,,http://ufcstats.com/fight-details/ac73c6888ee9322c
14353,7177,987.0,0,26,25,8,7,0.0,0.0,0,0,,http://ufcstats.com/fight-details/ac73c6888ee9322c
14352,7176,3035.0,0,259,39,259,39,2.0,0.0,0,0,,http://ufcstats.com/fight-details/2a48d0a98c21e736
14351,7176,3505.0,0,222,127,221,126,1.0,0.0,0,0,,http://ufcstats.com/fight-details/2a48d0a98c21e736
14350,7175,2532.0,2,128,75,128,75,0.0,0.0,1,0,,http://ufcstats.com/fight-details/96704d7ba3a452d9
14349,7175,2309.0,0,126,35,124,34,1.0,0.0,0,0,,http://ufcstats.com/fight-details/96704d7ba3a452d9
14348,7174,632.0,0,147,91,147,91,3.0,1.0,0,0,,http://ufcstats.com/fight-details/c53b0f678fe2f16a
14347,7174,579.0,0,191,62,187,59,1.0,0.0,0,0,,http://ufcstats.com/fight-details/c53b0f678fe2f16a
14346,7173,3477.0,0,141,65,141,65,0.0,0.0,0,0,,http://ufcstats.com/fight-details/dd617f6ab4916ec4
14345,7173,3591.0,0,168,62,168,62,0.0,0.0,0,0,,http://ufcstats.com/fight-details/dd617f6ab4916ec4
14344,7172,1528.0,0,84,56,57,36,4.0,4.0,3,0,,http://ufcstats.com/fight-details/de89bea7b0dcd2d3
14343,7172,2868.0,0,106,50,66,15,0.0,0.0,1,0,,http://ufcstats.com/fight-details/de89bea7b0dcd2d3
