date,result,fighter,opponent,division,stance,dob,method,total_comp_time,round,time,referee,time_format,reach,height,age,knockdowns,sub_attempts,reversals,control,takedowns_landed,takedowns_attempts,sig_strikes_landed,sig_strikes_attempts,total_strikes_landed,total_strikes_attempts,head_strikes_landed,head_strikes_attempts,body_strikes_landed,body_strikes_attempts,leg_strikes_landed,leg_strikes_attempts,distance_strikes_landed,distance_strikes_attempts,clinch_strikes_landed,clinch_strikes_attempts,ground_strikes_landed,ground_strikes_attempts
1994-03-11,0,Sean Daugherty,Scott Morris,Open Weight,orthodox,1975-12-04,SUB,20,1,0:20,John McCarthy,No Time Limit,0.0,72.0,18.0,0,0,0,0,0,0,0,4,1,5,0,2,0,0,0,2,0,3,0,1,0,0
1994-03-11,1,Scott Morris,Sean Daugherty,Open Weight,orthodox,1900-01-01,SUB,20,1,0:20,John McCarthy,No Time Limit,0.0,70.0,0.0,0,1,0,0,1,1,1,1,2,2,1,1,0,0,0,0,0,0,1,1,0,0
1994-03-11,1,Patrick Smith,Ray Wizard,Open Weight,orthodox,1963-08-28,SUB,58,1,0:58,John McCarthy,No Time Limit,0.0,74.0,30.0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0
1994-03-11,0,David Levicki,Johnny Rhodes,Open Weight,orthodox,1900-01-01,KO/TKO,733,1,12:13,John McCarthy,No Time Limit,0.0,77.0,0.0,0,0,0,0,0,0,4,5,95,102,4,5,0,0,0,0,1,2,2,2,1,1
1994-03-11,0,Thaddeus Luster,Frank Hamaker,Open Weight,orthodox,1900-01-01,SUB,292,1,4:52,John McCarthy,No Time Limit,0.0,75.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-03-11,0,Robert Lucarelli,Orlando Wiet,Open Weight,orthodox,1900-01-01,KO/TKO,170,1,2:50,John McCarthy,No Time Limit,0.0,74.0,0.0,0,1,0,0,1,1,2,6,2,6,1,2,0,1,1,3,2,6,0,0,0,0
1994-03-11,1,Orlando Wiet,Robert Lucarelli,Open Weight,southpaw,1900-01-01,KO/TKO,170,1,2:50,John McCarthy,No Time Limit,0.0,70.0,0.0,0,0,0,0,0,0,8,12,11,15,7,11,1,1,0,0,1,3,0,0,7,9
1994-03-11,0,Alberta Cerra Leon,Remco Pardoel,Open Weight,orthodox,1900-01-01,SUB,591,1,9:51,John McCarthy,No Time Limit,0.0,68.0,0.0,0,0,0,0,0,0,1,3,9,11,1,3,0,0,0,0,1,1,0,0,0,2
1994-03-11,1,Remco Pardoel,Alberta Cerra Leon,Open Weight,southpaw,1900-01-01,SUB,591,1,9:51,John McCarthy,No Time Limit,0.0,75.0,0.0,0,1,0,0,1,1,4,6,20,22,4,5,0,0,0,1,0,1,0,0,4,5
1994-03-11,0,Scott Baker,Jason DeLucia,Open Weight,orthodox,1900-01-01,SUB,401,1,6:41,John McCarthy,No Time Limit,0.0,72.0,0.0,0,0,2,0,1,1,0,2,14,23,0,2,0,0,0,0,0,2,0,0,0,0
1994-03-11,1,Jason DeLucia,Scott Baker,Open Weight,southpaw,1969-07-24,SUB,401,1,6:41,John McCarthy,No Time Limit,0.0,71.0,24.0,0,5,4,0,0,1,3,5,20,25,1,2,1,2,1,1,2,4,0,0,1,1
1994-03-11,0,Minoki Ichihara,Royce Gracie,Open Weight,orthodox,1900-01-01,SUB,308,1,5:08,John McCarthy,No Time Limit,0.0,67.0,0.0,0,0,0,0,0,0,3,7,12,16,3,6,0,0,0,1,0,2,0,0,3,5
1994-03-11,1,Royce Gracie,Minoki Ichihara,Open Weight,southpaw,1966-12-12,SUB,308,1,5:08,John McCarthy,No Time Limit,0.0,73.0,27.0,0,2,0,0,1,1,2,4,110,114,0,0,0,0,2,4,2,4,0,0,0,0
1994-03-11,0,Scott Morris,Patrick Smith,Open Weight,orthodox,1900-01-01,KO/TKO,30,1,0:30,John McCarthy,No Time Limit,0.0,70.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-03-11,1,Patrick Smith,Scott Morris,Open Weight,orthodox,1963-08-28,KO/TKO,30,1,0:30,John McCarthy,No Time Limit,0.0,74.0,30.0,0,0,0,0,0,0,13,17,19,25,12,16,1,1,0,0,0,0,1,1,12,16
1994-03-11,0,Fred Ettish,Johnny Rhodes,Open Weight,southpaw,1900-01-01,SUB,187,1,3:07,John McCarthy,No Time Limit,0.0,72.0,0.0,0,0,0,0,0,0,4,7,7,11,0,1,2,4,2,2,4,7,0,0,0,0
1994-03-11,1,Johnny Rhodes,Fred Ettish,Open Weight,orthodox,1900-01-01,SUB,187,1,3:07,John McCarthy,No Time Limit,0.0,72.0,0.0,1,1,0,0,0,0,13,29,21,38,12,28,0,0,1,1,3,6,1,2,9,21
1994-03-11,0,Orlando Wiet,Remco Pardoel,Open Weight,southpaw,1900-01-01,KO/TKO,89,1,1:29,John McCarthy,No Time Limit,0.0,70.0,0.0,0,0,0,0,0,0,1,2,5,7,0,1,0,0,1,1,1,2,0,0,0,0
1994-03-11,1,Remco Pardoel,Orlando Wiet,Open Weight,southpaw,1900-01-01,KO/TKO,89,1,1:29,John McCarthy,No Time Limit,0.0,75.0,0.0,0,0,0,0,1,1,7,7,7,7,7,7,0,0,0,0,0,0,0,0,7,7
1994-03-11,0,Jason DeLucia,Royce Gracie,Open Weight,southpaw,1969-07-24,SUB,67,1,1:07,John McCarthy,No Time Limit,0.0,71.0,24.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-03-11,1,Royce Gracie,Jason DeLucia,Open Weight,southpaw,1966-12-12,SUB,67,1,1:07,John McCarthy,No Time Limit,0.0,73.0,27.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-03-11,0,Johnny Rhodes,Patrick Smith,Open Weight,orthodox,1900-01-01,SUB,67,1,1:07,John McCarthy,No Time Limit,0.0,72.0,0.0,0,0,0,0,0,0,4,9,4,9,2,5,0,0,2,4,4,9,0,0,0,0
1994-03-11,1,Patrick Smith,Johnny Rhodes,Open Weight,orthodox,1963-08-28,SUB,67,1,1:07,John McCarthy,No Time Limit,0.0,74.0,30.0,0,1,0,0,0,0,5,12,5,12,1,4,2,2,2,6,3,10,2,2,0,0
1994-03-11,0,Remco Pardoel,Royce Gracie,Open Weight,southpaw,1900-01-01,SUB,91,1,1:31,John McCarthy,No Time Limit,0.0,75.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-03-11,1,Royce Gracie,Remco Pardoel,Open Weight,southpaw,1966-12-12,SUB,91,1,1:31,John McCarthy,No Time Limit,0.0,73.0,27.0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-03-11,0,Patrick Smith,Royce Gracie,Open Weight,orthodox,1963-08-28,KO/TKO,77,1,1:17,John McCarthy,No Time Limit,0.0,74.0,30.0,0,0,0,0,0,0,1,2,2,3,0,0,1,2,0,0,0,1,1,1,0,0
1994-03-11,1,Royce Gracie,Patrick Smith,Open Weight,southpaw,1966-12-12,KO/TKO,77,1,1:17,John McCarthy,No Time Limit,0.0,73.0,27.0,0,0,0,0,1,2,4,4,11,11,3,3,0,0,1,1,0,0,1,1,3,3
